HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
14,790.854,152.554,288.3,350,14,903.196,150.496,352.7,"400
"
14,880.101,213.516,275.585,391,14,789.363,190.935,288.576,"309.852
"
13,878.438,266.612,219.826,392,14,809.112,125.141,298.771,"385.2
"
14,872.332,165.4,268.344,438.588,14,857.148,157.592,317.556,"382
"
14,815.422,155,255.306,405.116,14,803.825,152.081,216.744,"435.0
"
13,812.056,96.85,344.706,370.5,12,780.856,132.632,294.224,"354
"
14,806.678,82.436,360.242,364,14,908.524,159.744,340.78,"408
"
14,825.458,299.858,147.6,378,14,836.986,132.08,244.408,"460.498
"
14,781.591,157.218,264.509,359.864,14,804.131,182.121,251.7,"370.31
"
14,906.167,242.734,255.433,408,14,827.816,98.456,281.632,"447.728
"
14,898.71,145.49,346.052,407.168,13,817.146,326.877,119.269,"371
"
14,796.205,197.568,290.748,307.889,13,874.0,181.35,302.65,"390
"
14,859.442,65.6,384.442,409.4,14,883.689,165.756,235.933,"482
"
13,840.501,145.476,232.025,463,14,799.144,161.732,287.412,"350
"
14,810.582,211.289,233.293,366,14,809.955,76,370.156,"363.799
"
14,786.889,182.127,247.762,357.0,14,895.571,166.0,319.971,"409.6
"
14,849.765,147.12,299.372,403.273,13,803.656,101.112,333.544,"369
"
14,816.237,213.55,230.906,371.781,14,783.448,154.869,259.538,"369.041
"
14,799.08,128.1,300.756,370.224,14,797.897,151.836,279.763,"366.298
"
13,812.778,143.855,317.797,351.126,14,805.404,181.424,257.98,"366
"
14,786.876,138.176,287.278,361.422,13,872.007,172.534,290.188,"409.285
"
14,897.327,150.496,352.831,394.0,14,876.238,214.596,260.642,"401
"
14,799.928,98.328,237.744,463.856,14,900.707,159.204,333.503,"408
"
14,894.412,171.718,313.094,409.6,13,823.5,123.4,338.5,"361.6
"
14,780.34,147,158.7,474.64,14,836.649,254.237,195.332,"387.08
"
14,797.432,252.432,255.0,290.0,14,783.121,140.12,287.001,"356
"
14,837.946,151.068,245.69,441.188,14,812.89,109.113,333.777,"370
"
13,815.157,76,360.733,378.424,14,806.273,75.888,344.408,"385.977
"
14,867.368,190.744,311.65,364.974,13,879.878,180.126,307.752,"392
"
14,891.868,171.016,272.707,448.145,14,888.989,175.975,314.014,"399
"
14,828.814,227.578,224.236,377,14,814.4,136.0,285.2,"393.2
"
14,806.747,75.712,370.035,361,14,891.844,171.0,331.0,"389.844
"
14,859.039,82,370.258,406.781,14,836.661,126.022,251.639,"459
"
13,814.934,145.525,299.409,370,14,811.277,162.816,226.633,"421.828
"
13,800.714,154.714,266.828,379.172,14,784.689,53.62,374.069,"357
"
14,906.567,189.687,323.811,393.069,14,805.135,143.934,310.475,"350.726
"
14,784.656,74.1,354.556,356,13,868.488,137.834,334.654,"396
"
14,888.826,240.052,251.164,397.61,14,783.534,135,266.46,"382.074
"
14,833.12,137.851,305.725,389.544,14,781.945,157.608,273.337,"351
"
14,785.857,56.186,372.671,357,14,837.034,252.359,200.675,"384
"
14,868.844,122.38,346.9,399.564,14,867.913,156.568,313.345,"398
"
14,893.262,230.8,240.372,422.09,13,884.72,212.5,259.3,"412.92
"
14,792.158,140.772,231.956,419.43,14,890.5,176,271.5,"443.0
"
14,783.459,170.424,262.035,351.0,14,802.956,113.0,290.5,"399.456
"
14,901.4,171.0,337.4,393,13,810.0,74.0,325.5,"410.5
"
13,816.222,130.15,307.072,379,12,834.932,173.174,283.758,"378
"
14,799.801,195.776,299.945,304.08,14,786.068,83.54,346.528,"356
"
14,813.892,171.6,228.492,413.8,12,808.367,154.367,214,"440
"
14,836.297,151.866,225.431,459,14,914.756,225.943,274.813,"414
"
14,907.132,171.494,323.638,412,14,905.502,87.835,409.009,"408.658
"
13,838.314,254.464,199.85,384,14,810.597,170.808,287.232,"352.557
"
14,863.614,134.026,318.934,410.654,14,774.103,141.624,212.268,"420.211
"
14,804.115,150,291.835,362.28,14,831.016,115.78,268.236,"447
"
13,833.894,155,300.894,378,14,786.533,208.833,158.2,"419.5
"
13,804.144,236.648,202.496,365.0,14,870.948,140.52,334.428,"396
"
14,886.305,171.813,240.736,473.756,14,789.029,166.475,228.068,"394.486
"
14,889.528,196.008,308.376,385.144,14,813.208,144.325,257.507,"411.376
"
14,821.567,76.976,369.591,375,14,786.7,178.5,251.2,"357
"
14,780.356,95.88,328.476,356,14,886.767,166,303.567,"417.2
"
14,782.838,82.04,293.284,407.514,14,792.803,199.147,161.656,"432.0
"
14,804.2,213.348,226.852,364,14,866.62,142.552,324.187,"399.881
"
14,806.776,144.15,295.946,366.68,14,903.508,148.394,417.288,"337.826
"
14,893.203,193.332,297.871,402,13,822.0,84.15,362.85,"375
"
14,906.581,172.56,332,402.021,14,780.366,122.07,301.296,"357
"
14,867.558,156.046,315.512,396,14,794.733,202.362,253.26,"339.111
"
14,884.364,185.297,283.414,415.653,14,833.542,107.728,273.814,"452
"
14,818.649,101.791,328.977,387.881,14,793.08,195.664,229.378,"368.038
"
14,837.93,242.43,216.5,379.0,14,807.636,75.822,370.814,"361
"
14,838.303,80,277.012,481.291,13,880.378,199.762,236,"444.616
"
14,834.044,46.396,343.848,443.8,14,807.145,150,286.161,"370.984
"
14,785.418,151.234,239.698,394.486,13,881.432,193.64,294.792,"393
"
13,819.367,72.567,371.8,375,14,906.813,242.678,263.996,"400.139
"
14,836.068,136.456,347.956,351.656,12,838.976,253.176,206.8,"379
"
14,808.021,86.816,432.205,289,14,889.532,187.232,298.344,"403.956
"
14,787.5,130.376,300.124,357,13,844.787,139.12,245.879,"459.788
"
14,785.236,154.758,219.333,411.145,14,815.79,80.092,310.122,"425.576
"
14,790.953,211.201,222.752,357,13,802.928,217.996,218.932,"366
"
14,888.045,270.07,215.975,402.0,14,779.268,154.7,230.568,"394.0
"
14,907.626,160.264,345.248,402.114,14,860.533,254.533,210.0,"396
"
14,866.77,171.32,298.691,396.759,14,848.733,97.708,324.025,"427.0
"
13,812.586,74,505.66,232.926,12,890.668,185.193,303.475,"402
"
14,814.801,111.301,253.5,450,13,814.0,72.156,366.306,"375.538
"
13,830.098,252.773,204.325,373,14,882.869,164.086,314.33,"404.453
"
12,798.668,145.668,216,437,13,902.733,166.0,331.733,"405
"
14,799.748,143.744,181.644,474.36,14,786.9,141.8,288.1,"357
"
14,794.412,214.219,223.193,357,14,797.335,191.328,223.367,"382.64
"
14,872.152,171.492,258.52,442.14,14,797.38,204.768,240.368,"352.244
"
14,835.156,144.012,239.144,452,14,767.846,190.298,211.586,"365.962
"
14,852.968,87.508,363.252,402.208,14,909.746,202.948,286.636,"420.162
"
13,788.057,122.984,308.073,357,14,857.6,106.538,357.062,"394
"
14,909.971,167.128,337.843,405,12,885.835,165,317.835,"403
"
14,878.522,156.343,305.815,416.364,14,811.343,86.609,293.166,"431.568
"
14,785.244,146.488,285.256,353.5,14,835.711,241.591,210.12,"384
"
14,905.72,166.0,323.072,416.648,14,817.178,147.0,283.178,"387.0
"
14,877.966,174.9,316,387.066,14,833.808,122.384,259.424,"452
"
14,848.656,155.433,255.446,437.777,14,790.11,215.0,290.11,"285
"
14,786.55,93.666,298.398,394.486,14,805.188,101.456,415.732,"288
"
14,796.923,185.775,230.148,381.0,14,863.124,154.5,243.428,"465.196
"
14,813.71,145.6,297.0,371.11,14,800.533,220.245,214.288,"366
"
13,841.33,270.33,187.0,384,14,862.814,169.955,351.452,"341.407
"
13,833.08,139.2,242.6,451.28,14,797.642,146.778,250.628,"400.236
"
14,865.702,152.011,257.559,456.132,14,909.666,187.005,328.0,"394.661
"
14,820.846,244.338,202.508,374.0,14,847.624,132.0,253.23,"462.394
"
14,789.222,145.512,223.814,419.896,14,780.935,71.335,301.6,"408
"
12,801.976,287,221.976,293,14,769.389,137.389,284.0,"348
"
14,811.098,90.082,271.016,450,13,891.311,167.5,404.811,"319
"
14,790.057,149.424,327.633,313.0,14,880.695,156.981,323.109,"400.605
"
14,858.524,104.698,358.826,395,14,814.356,132.006,310.35,"372
"
14,892.275,175.146,345.344,371.785,14,780.351,142.071,237.736,"400.544
"
14,880.704,150.118,327.434,403.152,14,853.94,95.36,350.299,"408.281
"
14,879.47,240.396,248.448,390.626,14,876.291,182.498,281.609,"412.184
"
14,778.491,86.189,274.95,417.352,13,845.876,325.701,136.175,"384
"
14,785.83,138.604,219.226,428.0,13,783.102,110.0,331.102,"342
"
14,781.89,143.336,287.554,351,13,869.804,99.132,313.436,"457.236
"
14,840.802,200.786,228.722,411.294,14,789.455,68.217,228.939,"492.299
"
12,814.0,133.612,308.388,372,14,829.089,154.689,311.242,"363.158
"
14,798.847,139.254,272.116,387.477,13,809.844,73,286.844,"450
"
14,904.951,157.272,349.679,398,13,801.666,259.214,249.452,"293
"
13,892.737,243.626,234.466,414.645,14,908.503,111.306,328.967,"468.23
"
14,784.117,143.781,288.61,351.726,14,911.101,171.0,417.101,"323
"
14,854.388,73.8,379.888,400.7,13,843.255,333.055,126.2,"384
"
14,811.287,218.429,173.43,419.428,13,879.222,215.974,247.006,"416.242
"
13,869.066,106.575,301.691,460.8,14,789.858,86.188,308.4,"395.27
"
14,802.421,282.376,222.556,297.489,14,812.822,106.469,336.353,"370
"
13,837.265,184.309,261.956,391,13,800.088,138,288.231,"373.857
"
14,826.767,154.767,262.0,410.0,14,799.066,80.408,409.058,"309.6
"
14,812.602,75.824,286.778,450,14,784.116,143.8,202.768,"437.548
"
14,800.921,98.456,273.465,429,14,873.722,133.018,334.504,"406.2
"
14,909.518,221.186,276.332,412,13,820.288,227,219.288,"374.0
"
14,914.835,152.845,371.136,390.854,14,837.964,76,339.964,"422.0
"
14,908.45,160.962,273.736,473.752,14,794.762,325.57,176.192,"293
"
14,772.199,188.247,142,441.952,14,857.984,75.604,382.67,"399.71
"
