MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9254,MCFC,2,0,HUL,58.2,41.8,6,2,12,7,725,568,529,376,18,19,27,23,7,4,1,1,14,904.951,157.272,349.679,398.0,13,801.666,259.214,249.452,293.0
9251,MUFC,0,0,CHE,55.2,44.8,3,4,12,8,756,635,550,448,22,15,35,26,4,1,3,1,13,892.737,243.626,234.466,414.645,14,908.503,111.306,328.967,468.23
9249,CAR,3,2,MCFC,30,70,6,5,9,16,450,804,264,637,16,12,36,17,3,8,4,2,14,784.117,143.781,288.61,351.726,14,911.101,171.0,417.101,323.0
9250,TOT,1,0,SWAN,47.6,52.4,7,5,21,7,672,719,454,511,22,14,30,43,8,3,0,3,14,854.388,73.8,379.888,400.7,13,843.255,333.055,126.2,384.0
9242,AVL,0,1,LIV,47.4,52.6,3,1,17,5,704,756,481,546,31,23,18,35,8,2,2,2,14,811.287,218.429,173.43,419.428,13,879.222,215.974,247.006,416.242
9243,EVE,0,0,WBA,62.3,37.7,8,2,22,7,720,500,478,298,20,23,36,45,11,1,5,1,13,869.066,106.575,301.691,460.8,14,789.858,86.188,308.4,395.27
9245,HUL,1,0,NOR,38.7,61.3,2,4,7,13,567,765,360,582,19,13,28,14,1,5,1,0,14,802.421,282.376,222.556,297.489,14,812.822,106.469,336.353,370.0
9246,NUFC,0,0,WHU,55.2,44.8,0,1,16,6,637,522,417,323,17,24,25,33,5,4,1,3,13,837.265,184.309,261.956,391.0,13,800.088,138.0,288.231,373.857
9247,SOT,1,1,SUN,66.6,33.4,6,3,17,8,760,454,540,260,12,21,38,34,5,2,1,1,14,826.767,154.767,262.0,410.0,14,799.066,80.408,409.058,309.6
9248,STK,2,1,CRY,49.6,50.4,4,5,14,14,640,669,409,437,20,31,23,37,7,0,1,0,14,812.602,75.824,286.778,450.0,14,784.116,143.8,202.768,437.548
9244,FUL,1,3,ARS,46.2,53.8,7,9,16,19,664,737,479,556,18,10,25,19,1,8,3,0,14,800.921,98.456,273.465,429.0,14,873.722,133.018,334.504,406.2
9241,CHE,2,1,AVL,69.2,30.8,3,3,15,7,856,459,677,286,16,13,29,26,1,2,5,5,14,909.518,221.186,276.332,412.0,13,820.288,227.0,219.288,374.0
9240,MCFC,4,0,NUFC,63.5,36.5,11,1,20,6,855,572,665,377,29,14,17,21,8,1,3,2,14,914.835,152.845,371.136,390.854,14,837.964,76.0,339.964,422.0
9238,CHE,2,0,HUL,51.4,48.6,6,2,23,7,738,710,551,502,14,16,27,18,5,1,1,2,14,908.45,160.962,273.736,473.752,14,794.762,325.57,176.192,293.0
9239,CRY,0,1,TOT,41.8,58.2,3,3,5,18,551,744,362,510,21,24,27,37,3,7,4,0,14,772.199,188.247,142.0,441.952,14,857.984,75.604,382.67,399.71
9235,SWAN,1,4,MUFC,53.7,46.3,6,8,17,14,738,662,534,471,14,9,27,42,7,4,2,5,14,842.568,233.0,225.568,384.0,13,878.786,190.141,235.0,453.645
9231,ARS,1,3,AVL,63.8,36.2,4,5,15,10,729,481,522,297,10,21,16,31,4,3,3,1,14,884.101,160.0,326.847,397.254,13,820.468,225.394,220.0,375.074
9233,NOR,2,2,EVE,33,67,2,7,8,20,459,786,258,564,22,20,27,27,6,8,1,3,13,807.044,132.825,300.963,373.256,14,870.06,102.142,299.018,468.9
9234,SUN,0,1,FUL,57.8,42.2,3,1,21,5,644,533,460,326,24,13,13,31,6,1,3,0,13,807.62,77.168,369.4,361.052,14,794.874,73.0,295.722,426.152
9236,WBA,0,1,SOT,46.7,53.3,1,3,11,8,568,620,363,400,16,11,38,39,4,8,1,2,13,789.688,74.844,301.0,413.844,14,829.736,154.778,301.958,373.0
9237,WHU,2,0,CAR,43.6,56.4,4,1,18,12,488,561,294,385,11,11,40,29,4,3,5,0,14,799.881,138.0,299.881,362.0,14,777.608,152.632,276.976,348.0
9232,LIV,1,0,STK,55.3,44.7,11,6,25,12,765,669,520,416,34,34,18,31,12,6,2,1,12,880.6,240.6,241.0,399.0,14,812.4,75.7,286.7,450.0
